Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.0.4-10.0.0.2-52094-80-6,10.0.0.4,52094,10.0.0.2,80,6,23/05/2022 10:57:45 AM,8020861,505,655,272.0,19575426.0,16.0,0.0,0.5386138613861398,2.8886398422613278,65160.0,0.0,29886.146564885512,30996.557193156776,2440598.0854175133,144.62287776835927,6920.501294219136,79412.74189600756,2040234.0,-2.0,8020656.0,15914.000000000007,119896.2501321434,2040234.0,2.0,8020845.0,12264.288990825698,105478.38954478916,2040413.0,3.0,0,0,0,0,16168,20968,62.96082178708745,81.66205598127183,0.0,65160.0,16861.066322136114,27594.997694451875,761483897.7568042,2,2,0,666,1159,0,0,0,1.0,16875.60172413793,0.5386138613861386,29886.146564885497,0,0,0,9787849,333,3394746,505,272,655,19575426,42340,85,17,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
10.0.0.4-10.0.0.2-52098-80-6,10.0.0.4,52098,10.0.0.2,80,6,23/05/2022 10:57:45 AM,8018549,24,22,32.0,62380.0,16.0,0.0,1.3333333333333333,4.517277620586239,11584.0,0.0,2835.454545454546,3293.5613482943286,7783.453091076703,5.736698746868043,178189.97777777785,1062727.9135796214,7090845.0,0.0,8018304.0,348621.9130434783,1482115.441295525,7090845.0,2.0,8018529.0,381834.7142857143,1550804.5631214832,7093564.0,1.0,0,0,0,0,932,712,2.99306021575724,2.743638531110803,0.0,11584.0,1327.914893617021,2644.916435186787,6995582.949121183,2,2,0,12,45,0,0,0,0.0,1356.7826086956522,1.3333333333333333,2835.454545454545,0,0,0,62412,20,67570,24,32,22,62380,42340,85,2,32,2726.0,0.0,2726.0,2726.0,7090845.0,0.0,7090845.0,7090845.0,NeedManualLabel
10.0.0.4-10.0.0.2-52092-80-6,10.0.0.4,52092,10.0.0.2,80,6,23/05/2022 10:57:45 AM,8024393,2571,5814,1264.0,186205047.0,16.0,0.0,0.4916374951380777,2.761785513790147,65160.0,0.0,32027.011867905087,30794.79933612333,23205033.826234583,1044.9388508264738,957.1079437022896,12259.915656480238,496061.0,-11.0,8023550.0,3122.00389105058,21995.60941398064,496061.0,0.0,8024365.0,1380.4171684156208,14722.233117259806,496176.0,1.0,0,0,0,0,82604,186056,320.39806624625686,724.5407845802168,0.0,65160.0,22204.4253517768,29589.860624332367,875559851.767415,2,2,0,5882,8384,0,0,0,2.0,22207.073464519977,0.4916374951380786,32027.011867905057,0,0,0,186206311,5888,23658521,0,0,0,0,42340,85,79,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
10.0.0.4-10.0.0.2-52102-80-6,10.0.0.4,52102,10.0.0.2,80,6,23/05/2022 10:57:45 AM,8016914,6,5,16.0,116.0,16.0,0.0,2.666666666666667,6.531972647421808,100.0,0.0,23.2,43.48792935976603,16.465188475266167,1.3720990396055142,801691.4,2533648.085624328,8012580.0,7.0,8016642.0,1603328.4,3582880.6673198454,8012580.0,203.0,8016902.0,2004225.5,4006536.523339205,8014030.0,55.0,0,0,0,0,200,168,0.7484176579666441,0.62368138163887,0.0,100.0,11.0,28.699065553365383,823.6363636363636,2,2,0,3,10,0,0,0,0.0,12.0,2.6666666666666665,23.2,0,0,0,0,0,0,6,16,5,116,42340,85,1,32,1455.0,0.0,1455.0,1455.0,8012580.0,0.0,8012580.0,8012580.0,NeedManualLabel
10.0.0.4-10.0.0.2-52100-80-6,10.0.0.4,52100,10.0.0.2,80,6,23/05/2022 10:57:45 AM,8018538,7,5,16.0,116.0,16.0,0.0,2.285714285714286,6.047431568147636,100.0,0.0,23.2,43.48792935976603,16.461853769352967,1.4965321608502695,728958.0,2416135.071119576,8013879.0,10.0,8018496.0,1336416.0,3271275.537096012,8013879.0,19.0,8018528.0,2004632.0,4007196.925875992,8015427.0,12.0,0,0,0,0,232,168,0.8729770938293241,0.6235550670209458,0.0,100.0,10.153846153846152,27.64611532037896,764.3076923076924,2,2,0,3,11,0,0,0,0.0,11.0,2.2857142857142856,23.2,0,0,0,0,0,0,7,16,5,116,42340,85,1,32,1523.0,0.0,1523.0,1523.0,8013879.0,0.0,8013879.0,8013879.0,NeedManualLabel
10.0.0.4-10.0.0.2-42756-22-6,10.0.0.4,42756,10.0.0.2,22,6,23/05/2022 10:57:45 AM,8015303,358,397,240.0,10941905.0,16.0,0.0,0.6703910614525135,3.2102366664290813,65160.0,0.0,27561.47355163729,30526.696167311387,1365156.7507803512,94.19481708926038,10630.375331564988,129493.22329577038,2942004.0,-1.0,8015034.0,22451.075630252108,187622.1910958248,2942004.0,2.0,8015294.0,20240.641414141417,178351.8321717369,2942064.0,2.0,0,0,0,0,11904,12712,44.664562275437376,49.53025481382301,0.0,65160.0,14473.736772486762,26046.96363401713,678444314.551811,2,2,0,397,754,0,0,0,1.0,14492.907284768213,0.6703910614525139,27561.47355163728,0,0,0,5471072,203,2987526,179,120,198,5470952,42340,85,15,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
10.0.0.4-10.0.0.2-42752-22-6,10.0.0.4,42752,10.0.0.2,22,6,23/05/2022 10:57:45 AM,8017479,2434,4586,1408.0,148255414.0,16.0,0.0,0.5784716516023014,2.987404158541493,65160.0,0.0,32327.82686436981,32007.348708773145,18491700.695443045,875.58695195834,1142.2537398489826,12302.550226053188,439105.0,-7.0,8017394.0,3295.270859021787,20731.12120836999,439105.0,3.0,8017469.0,1748.6300981461304,15207.842174109926,439412.0,3.0,0,0,0,0,77944,146760,303.5867010066381,572.0002509517019,0.0,65160.0,21116.197407776774,30098.015832067824,905890557.0274054,2,2,0,4668,7019,0,0,0,1.0,21119.205413105414,0.5784716516023007,32327.82686436982,0,0,0,148256822,4669,18864622,0,0,0,0,42340,85,88,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
10.0.0.4-10.0.0.2-42758-22-6,10.0.0.4,42758,10.0.0.2,22,6,23/05/2022 10:57:45 AM,8013952,180,164,32.0,3470554.0,16.0,0.0,0.1777777777777779,1.681830459159948,65160.0,0.0,21161.914634146346,26060.38344957112,433067.97944384994,42.92513855835424,23364.29154518949,357365.8601807585,6446563.0,0.0,8013881.0,44770.284916201104,494380.801601473,6446563.0,0.0,8013925.0,49165.18404907976,518047.9902402417,6446593.0,3.0,0,0,0,0,6116,5256,22.460828315417917,20.46431024293632,0.0,65160.0,10059.669565217397,20828.13281373956,433811116.50677466,2,2,0,153,343,0,0,0,0.0,10088.912790697674,0.1777777777777777,21161.914634146346,0,0,0,3470454,159,80431398,90,16,82,1735277,42340,85,2,32,1563655.0,0.0,1563655.0,1563655.0,6446563.0,0.0,6446563.0,6446563.0,NeedManualLabel
10.0.0.4-10.0.0.2-42760-22-6,10.0.0.4,42760,10.0.0.2,22,6,23/05/2022 10:57:45 AM,8012134,6,5,16.0,116.0,16.0,0.0,2.666666666666667,6.531972647421808,100.0,0.0,23.2,43.48792935976603,16.475011526267533,1.3729176271889612,801213.4000000001,2531798.9801513427,8006839.0,13.0,8011809.0,1602361.7999999998,3580211.856585403,8006839.0,22.0,8012112.0,2003028.0,4003488.386299212,8008260.0,13.0,0,0,0,0,200,168,0.7488641602848879,0.6240534669040733,0.0,100.0,11.0,28.699065553365383,823.6363636363636,2,2,0,3,10,0,0,0,0.0,12.0,2.6666666666666665,23.2,0,0,0,0,0,0,6,16,5,116,42340,85,1,32,1422.0,0.0,1422.0,1422.0,8006839.0,0.0,8006839.0,8006839.0,NeedManualLabel
10.0.0.4-10.0.0.2-42762-22-6,10.0.0.4,42762,10.0.0.2,22,6,23/05/2022 10:57:45 AM,8011159,6,5,16.0,116.0,16.0,0.0,2.666666666666667,6.531972647421808,100.0,0.0,23.2,43.48792935976603,16.47701662144017,1.3730847184533477,801115.8999999999,2531277.364556895,8005257.0,8.0,8010473.0,1602094.6,3579476.866652905,8005257.0,43.0,8011150.0,2002787.5,4002725.414468705,8006875.0,14.0,0,0,0,0,200,168,0.7489553009745532,0.6241294174787944,0.0,100.0,11.0,28.699065553365383,823.6363636363636,2,2,0,3,10,0,0,0,0.0,12.0,2.6666666666666665,23.2,0,0,0,0,0,0,6,16,5,116,42340,85,1,32,1619.0,0.0,1619.0,1619.0,8005257.0,0.0,8005257.0,8005257.0,NeedManualLabel
